Date,Team,PTS,Opp,PTS_Opp,Weight
2024-03-17,Real Madrid,87.0,Unicaja,81.0,0.5
2024-03-17,Zunder Palencia,96.0,Casademont Zaragoza,103.0,0.5
2024-03-23,Casademont Zaragoza,80.0,MoraBanc Andorra,85.0,0.5
2024-03-23,Baxi Manresa,84.0,Bàsquet Girona,83.0,0.5
2024-03-23,Unicaja,90.0,Covirán Granada,62.0,0.5
2024-03-23,Río Breogán,72.0,Monbus Obradoiro,83.0,0.5
2024-03-24,UCAM Murcia,82.0,Valencia Basket,83.0,0.5
2024-03-24,Barça,93.0,Joventut,75.0,0.5
2024-03-24,Real Madrid,86.0,Zunder Palencia,78.0,0.5
2024-03-24,Baskonia,80.0,Surne Bilbao Basket,82.0,0.5
2024-03-24,Dreamland Gran Canaria,92.0,Lenovo Tenerife,93.0,0.5
2024-03-30,Surne Bilbao Basket,80.0,Río Breogán,68.0,0.5
2024-03-30,Lenovo Tenerife,89.0,Zunder Palencia,68.0,0.5
2024-03-30,Bàsquet Girona,80.0,Unicaja,111.0,0.5
2024-03-30,Casademont Zaragoza,94.0,Baskonia,102.0,0.5
2024-03-31,Joventut,83.0,Covirán Granada,86.0,0.5
2024-03-31,Valencia Basket,71.0,Dreamland Gran Canaria,79.0,0.5
2024-03-31,MoraBanc Andorra,86.0,UCAM Murcia,99.0,0.5
2024-03-31,Barça,89.0,Monbus Obradoiro,84.0,0.5
2024-03-31,Baxi Manresa,83.0,Real Madrid,72.0,0.5
2024-04-06,UCAM Murcia,82.0,Joventut,75.0,0.5
2024-04-06,Dreamland Gran Canaria,71.0,Surne Bilbao Basket,81.0,0.5
2024-04-06,Zunder Palencia,65.0,Río Breogán,73.0,0.5
2024-04-06,Monbus Obradoiro,79.0,Casademont Zaragoza,98.0,0.5
2024-04-07,Covirán Granada,62.0,MoraBanc Andorra,88.0,0.5
2024-04-07,Real Madrid,79.0,Barça,85.0,0.5
2024-04-07,Bàsquet Girona,60.0,Lenovo Tenerife,74.0,0.5
2024-04-07,Unicaja,88.0,Baxi Manresa,77.0,0.5
2024-04-07,Baskonia,101.0,Valencia Basket,111.0,0.5
2024-04-13,Surne Bilbao Basket,84.0,Lenovo Tenerife,101.0,0.5
2024-04-13,Zunder Palencia,77.0,UCAM Murcia,90.0,0.5
2024-04-13,Baxi Manresa,94.0,Monbus Obradoiro,86.0,0.5
2024-04-13,Casademont Zaragoza,72.0,Unicaja,83.0,0.5
2024-04-14,Barça,81.0,Bàsquet Girona,75.0,0.5
2024-04-14,Valencia Basket,88.0,Covirán Granada,81.0,0.5
2024-04-14,MoraBanc Andorra,92.0,Dreamland Gran Canaria,97.0,0.5
2024-04-14,Joventut,92.0,Real Madrid,95.0,0.5
2024-04-14,Río Breogán,74.0,Baskonia,76.0,0.5
2024-04-20,Covirán Granada,91.0,Zunder Palencia,83.0,0.5
2024-04-20,MoraBanc Andorra,97.0,Baxi Manresa,90.0,0.5
2024-04-20,UCAM Murcia,86.0,Barça,97.0,0.5
2024-04-20,Dreamland Gran Canaria,77.0,Río Breogán,70.0,0.5
2024-04-21,Monbus Obradoiro,75.0,Surne Bilbao Basket,72.0,0.5
2024-04-21,Bàsquet Girona,90.0,Joventut,96.0,0.5
2024-04-21,Baskonia,91.0,Unicaja,95.0,0.5
2024-04-21,Lenovo Tenerife,73.0,Valencia Basket,98.0,0.5
2024-04-21,Real Madrid,79.0,Casademont Zaragoza,70.0,0.5
2024-04-27,Surne Bilbao Basket,68.0,Bàsquet Girona,81.0,0.5
2024-04-27,Río Breogán,85.0,Covirán Granada,84.0,0.5
2024-04-27,Joventut,79.0,Dreamland Gran Canaria,97.0,0.5
2024-04-27,Baskonia,101.0,Zunder Palencia,94.0,0.5
2024-04-28,Monbus Obradoiro,69.0,Real Madrid,79.0,0.5
2024-04-28,Valencia Basket,96.0,Baxi Manresa,98.0,0.5
2024-04-28,Casademont Zaragoza,,UCAM Murcia,,0.5
2024-04-28,Barça,92.0,MoraBanc Andorra,108.0,0.5
