Date,Team,PTS,,Opp,PTS,,OT,Notes
Fri May 10 2024,Real Madrid,93,,Valencia Basket,99,,,
Fri May 10 2024,UCAM Murcia,79,,Baskonia,94,,,
Fri May 10 2024,Covirán Granada,84,,Casademont Zaragoza,77,,,
Sun May 12 2024,Valencia Basket,71,,MoraBanc Andorra,99,,,
Sun May 12 2024,Casademont Zaragoza,89,,Bàsquet Girona,79,,,
Sun May 12 2024,Barça,72,,Surne Bilbao Basket,68,,,
Sun May 12 2024,Baxi Manresa,80,,Lenovo Tenerife,84,,,
Sun May 12 2024,Dreamland Gran Canaria,67,,Covirán Granada,74,,,
Sun May 12 2024,Río Breogán,61,,UCAM Murcia,68,,,
Sun May 12 2024,Joventut,71,,Monbus Obradoiro,97,,,
Sun May 12 2024,Baskonia,100,,Real Madrid,106,,,
Sun May 12 2024,Zunder Palencia,69,,Unicaja,93,,,
